file,shape,W_max,W_2norm,W_frob,W_frob_over_2norm,status,path
ISDFfull_bareGDF_diamond_6x6x6_gth-szv_c8.chk,"(216, 64, 64)",221.8,1021.2,1022.9,1.0,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDFfull_bareGDF_diamond_6x6x6_gth-szv_c8.chk
ISDFfull_bareGDF_diamond_6x6x6_gth-szv_c10.chk,"(216, 80, 80)",62.1,399.7,402.1,1.0,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDFfull_bareGDF_diamond_6x6x6_gth-szv_c10.chk
ISDFfull_bareGDF_diamond_6x6x6_gth-szv_c12.chk,"(216, 96, 96)",49.9,377.9,381.0,1.0,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDFfull_bareGDF_diamond_6x6x6_gth-szv_c12.chk
ISDFfull_bareGDF_diamond_6x6x6_gth-szv_c15.chk,"(216, 120, 120)",19.3,232.1,234.1,1.0,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDFfull_bareGDF_diamond_6x6x6_gth-szv_c15.chk
ISDFfull_bareGDF_diamond_6x6x6_gth-szv_c20.chk,"(216, 160, 160)",32.3,239.3,242.9,1.0,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDFfull_bareGDF_diamond_6x6x6_gth-szv_c20.chk
ISDFfull_opt_bareGDF_diamond_2x2x2_gth-dzvp_c6_cref20_norm0.03.chk,"(8, 156, 156)",0.7,10.0,16.2,1.6,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDFfull_opt_bareGDF_diamond_2x2x2_gth-dzvp_c6_cref20_norm0.03.chk
ISDFfull_opt_bareGDF_diamond_2x2x2_gth-dzvp_c8_cref20_norm0.01.chk,"(8, 208, 208)",0.9,9.6,16.9,1.8,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDFfull_opt_bareGDF_diamond_2x2x2_gth-dzvp_c8_cref20_norm0.01.chk
ISDFfull_opt_bareGDF_diamond_2x2x2_gth-dzvp_c12_cref20_norm0.01.chk,"(8, 312, 312)",0.5,6.9,11.6,1.7,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDFfull_opt_bareGDF_diamond_2x2x2_gth-dzvp_c12_cref20_norm0.01.chk
ISDFfull_opt_bareGDF_diamond_2x2x2_gth-dzvp_c12_cref20_norm0.02.chk,"(8, 312, 312)",0.4,6.7,11.2,1.7,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDFfull_opt_bareGDF_diamond_2x2x2_gth-dzvp_c12_cref20_norm0.02.chk
ISDFfull_opt_bareGDF_diamond_3x3x3_gth-dzvp_c6_cref20_norm0.03.chk,"(27, 156, 156)",0.6,16.8,18.9,1.1,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDFfull_opt_bareGDF_diamond_3x3x3_gth-dzvp_c6_cref20_norm0.03.chk
ISDFfull_opt_bareGDF_diamond_3x3x3_gth-dzvp_c8_cref20_norm0.01.chk,"(27, 208, 208)",0.8,19.9,23.4,1.2,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDFfull_opt_bareGDF_diamond_3x3x3_gth-dzvp_c8_cref20_norm0.01.chk
ISDFfull_opt_bareGDF_diamond_3x3x3_gth-dzvp_c12_cref20_norm0.01.chk,"(27, 312, 312)",0.5,15.2,17.9,1.2,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDFfull_opt_bareGDF_diamond_3x3x3_gth-dzvp_c12_cref20_norm0.01.chk
ISDFfull_opt_bareGDF_diamond_3x3x3_gth-dzvp_c12_cref20_norm0.02.chk,"(27, 312, 312)",0.4,13.9,15.9,1.1,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDFfull_opt_bareGDF_diamond_3x3x3_gth-dzvp_c12_cref20_norm0.02.chk
ISDFfull_opt_bareGDF_diamond_4x4x4_gth-dzvp_c6_cref20_norm0.03.chk,"(64, 156, 156)",0.7,28.5,29.6,1.0,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDFfull_opt_bareGDF_diamond_4x4x4_gth-dzvp_c6_cref20_norm0.03.chk
ISDFfull_opt_bareGDF_diamond_4x4x4_gth-dzvp_c8_cref20_norm0.01.chk,"(64, 208, 208)",1.0,35.0,36.8,1.1,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDFfull_opt_bareGDF_diamond_4x4x4_gth-dzvp_c8_cref20_norm0.01.chk
ISDFfull_opt_bareGDF_diamond_4x4x4_gth-dzvp_c12_cref20_norm0.01.chk,"(64, 312, 312)",0.6,26.0,27.2,1.0,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDFfull_opt_bareGDF_diamond_4x4x4_gth-dzvp_c12_cref20_norm0.01.chk
ISDFfull_opt_bareGDF_diamond_4x4x4_gth-dzvp_c12_cref20_norm0.02.chk,"(64, 312, 312)",0.4,23.7,24.7,1.0,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDFfull_opt_bareGDF_diamond_4x4x4_gth-dzvp_c12_cref20_norm0.02.chk
ISDFfull_opt_bareGDF_diamond_5x5x5_gth-dzvp_c6_cref20_norm0.03.chk,"(125, 156, 156)",0.7,39.3,39.9,1.0,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDFfull_opt_bareGDF_diamond_5x5x5_gth-dzvp_c6_cref20_norm0.03.chk
ISDFfull_opt_bareGDF_diamond_5x5x5_gth-dzvp_c8_cref20_norm0.01.chk,"(125, 208, 208)",1.0,48.2,48.9,1.0,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDFfull_opt_bareGDF_diamond_5x5x5_gth-dzvp_c8_cref20_norm0.01.chk
ISDFfull_opt_bareGDF_diamond_5x5x5_gth-dzvp_c12_cref20_norm0.01.chk,"(125, 312, 312)",0.5,36.9,37.6,1.0,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDFfull_opt_bareGDF_diamond_5x5x5_gth-dzvp_c12_cref20_norm0.01.chk
ISDFfull_opt_bareGDF_diamond_5x5x5_gth-dzvp_c12_cref20_norm0.02.chk,"(125, 312, 312)",0.1,15.7,15.8,1.0,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDFfull_opt_bareGDF_diamond_5x5x5_gth-dzvp_c12_cref20_norm0.02.chk
ISDFfull_opt_bareGDF_diamond_6x6x6_gth-dzvp_c6_cref20_norm0.03.chk,"(216, 156, 156)",1.0,60.6,61.0,1.0,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDFfull_opt_bareGDF_diamond_6x6x6_gth-dzvp_c6_cref20_norm0.03.chk
ISDFfull_opt_bareGDF_diamond_6x6x6_gth-dzvp_c8_cref20_norm0.01.chk,"(216, 208, 208)",1.3,73.3,73.9,1.0,ok,/resnick/groups/changroup/members/jsun3/xprize/fit_THC/data_GDF/ISDFfull_opt_bareGDF_diamond_6x6x6_gth-dzvp_c8_cref20_norm0.01.chk
